title,author,genre,description
"Stars Beyond Silence","Adrian Wolfe","Sci-Fi","A lone pilot discovers an ancient signal that could change humanity's future."
"The Emerald Crown","Lena Hart","Fantezie","A young blacksmith is chosen to reclaim a lost kingdom with the help of mythical allies."
"Mindset Reset","Daniel Brooks","Dezvoltare Personala","Practical strategies for building better habits and long-term resilience."
"Echoes of Titan","Sophia Reed","Sci-Fi","A research team on Titan uncovers a mysterious lifeform beneath the frozen surface."
"The Crystal Forest","Maya Collins","Fantezie","An enchanted forest hides a secret capable of saving or destroying the realm."
"Focus Without Limits","Emma Carter","Dezvoltare Personala","Simple techniques to improve concentration, productivity, and daily discipline."
"Orbit of Shadows","Noah Bennett","Sci-Fi","A deep-space crew must survive after their navigation AI begins acting unpredictably."
"The Dragon's Promise","Oliver Hayes","Fantezie","A forgotten pact between dragons and humans is tested by an ancient enemy."
"Atomic Habits Reimagined","Grace Turner","Dezvoltare Personala","A fresh perspective on creating lasting personal and professional growth."
"Neptune Protocol","Lucas Grant","Sci-Fi","A secret mission to Neptune reveals technology left behind by an extinct civilization."
"The Silver Mage","Isabella Moore","Fantezie","A reluctant magician must master forbidden powers before darkness spreads across the land."
"The Daily Upgrade","Nathan Scott","Dezvoltare Personala","Small daily improvements combine into extraordinary long-term success."
"Galaxy's Last Beacon","Chloe Adams","Sci-Fi","The final communication station in the galaxy becomes humanity's last hope during an invasion."
"Kingdom of Ash Leaves","Ethan Parker","Fantezie","A wandering ranger searches for a legendary tree said to restore balance to the world."
"Lead Yourself First","Hannah Price","Dezvoltare Personala","Lessons on self-leadership, decision making, and personal accountability."
